name,position,team,opponent_team,price,condition,xTotPoints,total_points
James Milner,MID,Brighton & Hove Albion,Brentford,5.0,0.25,-0.0,0
Ryan Trevitt,MID,Brentford,Brighton & Hove Albion,4.4,1.0,-0.0,0
Enzo Fernández,MID,Chelsea,Fulham,5.1,1.0,5.22,2
Luke Shaw,DEF,Manchester United,Wolverhampton Wanderers,4.9,0.0,-0.05,0
Fábio Freitas Gouveia Carvalho,MID,Brentford,Brighton & Hove Albion,4.6,1.0,0.95,0
Jérémy Doku,MID,Manchester City,Everton,6.2,1.0,2.11,5
Marcus Bettinelli,GK,Chelsea,Fulham,3.9,1.0,-0.0,0
Alisson Ramses Becker,GK,Liverpool,Leicester City,5.4,1.0,1.63,2
Aaron Hickey,DEF,Brentford,Brighton & Hove Albion,4.3,0.0,-0.0,0
Alex McCarthy,GK,Southampton,West Ham United,4.3,1.0,0.18,0
Steven Benda,GK,Fulham,Chelsea,4.0,1.0,-0.0,0
Dean Henderson,GK,Crystal Palace,Bournemouth,4.4,1.0,2.54,7
Cheick Doucouré,MID,Crystal Palace,Bournemouth,4.9,1.0,0.4,1
Wilfred Ndidi,MID,Leicester City,Liverpool,4.9,0.0,1.43,0
Maxence Lacroix,DEF,Crystal Palace,Bournemouth,4.5,1.0,3.17,6
John Ruddy,GK,Newcastle United,Aston Villa,4.0,1.0,-0.0,0
Caleb Okoli,DEF,Leicester City,Liverpool,4.0,1.0,-0.01,1
Odysseas Vlachodimos,GK,Newcastle United,Aston Villa,4.3,1.0,-0.0,0
Daichi Kamada,MID,Crystal Palace,Bournemouth,5.1,1.0,0.25,1
Reece James,DEF,Chelsea,Fulham,4.8,0.0,0.0,0
Georginio Rutter,MID,Brighton & Hove Albion,Brentford,5.4,1.0,1.0,1
Santiago Bueno,DEF,Wolverhampton Wanderers,Manchester United,4.3,1.0,0.94,6
Kenny Tete,DEF,Fulham,Chelsea,4.5,0.0,1.42,0
Pablo Sarabia,MID,Wolverhampton Wanderers,Manchester United,5.1,0.0,-0.0,0
Diogo Teixeira da Silva,MID,Liverpool,Leicester City,7.2,1.0,0.73,1
Kortney Hause,DEF,Aston Villa,Newcastle United,3.9,1.0,-0.0,0
Bastien Meupiyou,DEF,Wolverhampton Wanderers,Manchester United,4.0,1.0,-0.0,0
Tino Livramento,DEF,Newcastle United,Aston Villa,4.5,1.0,1.7,0
Tyler Adams,MID,Bournemouth,Crystal Palace,4.9,1.0,0.99,1
Marcus Rashford,MID,Manchester United,Wolverhampton Wanderers,6.7,1.0,1.05,0
Daniel Muñoz,DEF,Crystal Palace,Bournemouth,4.7,1.0,5.59,6
Bruno Guimarães Rodriguez Moura,MID,Newcastle United,Aston Villa,6.1,1.0,4.37,3
Charlie Taylor,DEF,Southampton,West Ham United,3.9,1.0,0.17,0
Bryan Mbeumo,MID,Brentford,Brighton & Hove Albion,7.6,1.0,7.63,3
Matty Cash,DEF,Aston Villa,Newcastle United,4.4,1.0,0.38,0
Adam Lallana,MID,Southampton,West Ham United,5.0,1.0,-0.0,1
Sandro Tonali,MID,Newcastle United,Aston Villa,5.5,1.0,2.25,3
Issa Diop,DEF,Fulham,Chelsea,4.4,1.0,2.17,2
Igor Julio dos Santos de Paulo,DEF,Brighton & Hove Albion,Brentford,4.4,1.0,0.48,0
Joelinton Cássio Apolinário de Lira,MID,Newcastle United,Aston Villa,6.0,0.75,1.33,13
John McGinn,MID,Aston Villa,Newcastle United,5.2,1.0,2.62,2
Oscar Bobb,MID,Manchester City,Everton,4.7,0.0,-0.0,0
Pedro Cardoso de Lima,DEF,Wolverhampton Wanderers,Manchester United,3.9,1.0,-0.0,0
Nathan Collins,DEF,Brentford,Brighton & Hove Albion,4.6,1.0,1.67,6
Jesper Lindstrøm,MID,Everton,Manchester City,5.1,1.0,1.0,1
Marc Guéhi,DEF,Crystal Palace,Bournemouth,4.5,1.0,2.35,7
William Osula,FWD,Newcastle United,Aston Villa,4.9,1.0,0.15,1
William Osula,FWD,Newcastle United,Aston Villa,4.9,1.0,0.15,1
Jean-Philippe Mateta,FWD,Crystal Palace,Bournemouth,7.2,1.0,2.22,2
Bernardo Veiga de Carvalho e Silva,MID,Manchester City,Everton,6.3,1.0,3.35,9
Filip Jørgensen,GK,Chelsea,Fulham,4.2,1.0,0.33,0
David Brooks,MID,Bournemouth,Crystal Palace,4.9,1.0,0.72,1
Solly March,MID,Brighton & Hove Albion,Brentford,6.5,0.75,-0.0,1
Kieran Trippier,DEF,Newcastle United,Aston Villa,5.6,1.0,1.36,5
John Stones,DEF,Manchester City,Everton,5.3,0.75,0.11,0
Jayden Meghoma,DEF,Brentford,Brighton & Hove Albion,4.0,1.0,0.18,0
Lewis Hall,DEF,Newcastle United,Aston Villa,4.7,1.0,4.27,6
Marc Guiu Paz,FWD,Chelsea,Fulham,4.7,1.0,-0.0,0
Marc Guiu Paz,FWD,Chelsea,Fulham,4.7,1.0,-0.0,0
Tyler Morton,MID,Liverpool,Leicester City,4.4,1.0,-0.0,0
Matheus França de Oliveira,MID,Crystal Palace,Bournemouth,4.4,0.0,-0.0,0
Calvin Bassey,DEF,Fulham,Chelsea,4.5,1.0,1.32,2
Eddie Nketiah,FWD,Crystal Palace,Bournemouth,5.9,1.0,1.05,0
Eddie Nketiah,FWD,Crystal Palace,Bournemouth,5.9,1.0,1.05,0
Andreas Hoelgebaum Pereira,MID,Fulham,Chelsea,5.0,1.0,2.95,2
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Manchester United,7.1,1.0,5.06,12
Amadou Onana,MID,Aston Villa,Newcastle United,4.9,1.0,0.47,2
Morgan Rogers,MID,Aston Villa,Newcastle United,5.4,1.0,3.86,2
Reiss Nelson,MID,Fulham,Chelsea,5.0,0.0,0.59,0
Tosin Adarabioyo,DEF,Chelsea,Fulham,4.2,1.0,1.67,1
Matt Targett,DEF,Newcastle United,Aston Villa,4.0,1.0,0.0,1
Jan Paul van Hecke,DEF,Brighton & Hove Albion,Brentford,4.5,1.0,1.03,9
Ollie Watkins,FWD,Aston Villa,Newcastle United,8.8,1.0,7.83,1
Jorge Cuenca Barreno,DEF,Fulham,Chelsea,4.4,1.0,0.29,0
Rico Lewis,DEF,Manchester City,Everton,4.6,1.0,1.02,2
Julián Araujo Zúñiga,DEF,Bournemouth,Crystal Palace,4.3,0.0,-0.0,0
James Tarkowski,DEF,Everton,Manchester City,4.8,1.0,2.95,2
Joël Veltman,DEF,Brighton & Hove Albion,Brentford,4.5,1.0,0.43,8
Kamaldeen Sulemana,MID,Southampton,West Ham United,5.0,1.0,0.28,1
Tyrone Mings,DEF,Aston Villa,Newcastle United,4.4,1.0,0.56,0
Ethan Wheatley,FWD,Manchester United,Wolverhampton Wanderers,4.5,1.0,-0.0,0
Ethan Wheatley,FWD,Manchester United,Wolverhampton Wanderers,4.5,1.0,-0.0,0
Amad Diallo,MID,Manchester United,Wolverhampton Wanderers,5.4,1.0,5.19,2
Malo Gusto,DEF,Chelsea,Fulham,4.9,1.0,2.85,1
Jakub Stolarczyk,GK,Leicester City,Liverpool,4.0,0.75,-0.0,2
Lloyd Kelly,DEF,Newcastle United,Aston Villa,4.2,1.0,0.0,0
Mateus Gonçalo Espanha Fernandes,MID,Southampton,West Ham United,5.0,1.0,2.0,2
Dean Huijsen,DEF,Bournemouth,Crystal Palace,4.3,1.0,6.45,8
Carlos Roberto Forbs Borges,MID,Wolverhampton Wanderers,Manchester United,5.5,1.0,0.08,0
André Trindade da Costa Neto,MID,Wolverhampton Wanderers,Manchester United,5.0,1.0,1.88,3
Max Aarons,DEF,Bournemouth,Crystal Palace,4.3,1.0,-0.0,6
Lewis Miley,MID,Newcastle United,Aston Villa,5.0,1.0,0.44,1
Nathan Wood-Gordon,DEF,Southampton,West Ham United,4.0,1.0,1.98,1
Rodrigo Muniz Carvalho,FWD,Fulham,Chelsea,5.5,1.0,0.91,7
Benjamin White,DEF,Arsenal,Ipswich Town,6.1,0.0,-0.0,0
Abdul Fatawu,MID,Leicester City,Liverpool,5.2,0.0,0.0,0
Dominik Szoboszlai,MID,Liverpool,Leicester City,6.3,1.0,6.1,0
Tim Iroegbunam,MID,Everton,Manchester City,4.4,0.0,-0.0,0
Roméo Lavia,MID,Chelsea,Fulham,4.5,0.5,0.01,0
Leon Bailey,MID,Aston Villa,Newcastle United,6.2,1.0,0.54,1
Harvey Barnes,MID,Newcastle United,Aston Villa,6.1,1.0,3.94,1
Harry Maguire,DEF,Manchester United,Wolverhampton Wanderers,4.9,1.0,0.79,1
Mark Travers,GK,Bournemouth,Crystal Palace,4.4,1.0,-0.0,0
Will Smallbone,MID,Southampton,West Ham United,5.0,0.25,-0.0,0
Mykhailo Mudryk,MID,Chelsea,Fulham,6.2,0.0,0.0,0
Stefan Ortega Moreno,GK,Manchester City,Everton,5.2,1.0,1.33,2
Renato Palma Veiga,MID,Chelsea,Fulham,4.5,1.0,0.24,0
Eberechi Eze,MID,Crystal Palace,Bournemouth,6.6,0.75,2.34,2
Boubacar Kamara,MID,Aston Villa,Newcastle United,5.0,1.0,1.7,2
Victor Lindelöf,DEF,Manchester United,Wolverhampton Wanderers,4.3,0.25,0.17,0
Ross Barkley,MID,Aston Villa,Newcastle United,5.2,1.0,0.5,1
James McConnell,MID,Liverpool,Leicester City,4.4,1.0,-0.0,0
Kobbie Mainoo,MID,Manchester United,Wolverhampton Wanderers,5.2,1.0,0.94,2
Sander Berge,MID,Fulham,Chelsea,5.0,0.75,2.46,0
Maldini Kacurri,DEF,Arsenal,Ipswich Town,4.0,1.0,-0.0,0
Adam Armstrong,FWD,Southampton,West Ham United,5.1,1.0,2.05,2
Emil Krafth,DEF,Newcastle United,Aston Villa,4.3,0.0,-0.0,0
Jakub Kiwior,DEF,Arsenal,Ipswich Town,4.8,1.0,1.0,0
Kristoffer Ajer,DEF,Brentford,Brighton & Hove Albion,4.4,0.0,0.32,0
Will Hughes,MID,Crystal Palace,Bournemouth,4.9,1.0,3.62,1
Jakub Moder,MID,Brighton & Hove Albion,Brentford,4.4,1.0,-0.0,0
Raheem Sterling,MID,Arsenal,Ipswich Town,6.7,0.0,0.01,0
Raúl Jiménez,FWD,Fulham,Chelsea,5.6,1.0,1.44,2
Myles Lewis-Skelly,MID,Arsenal,Ipswich Town,4.5,1.0,0.11,3
Ashley Young,DEF,Everton,Manchester City,4.7,0.0,5.25,0
James Bree,DEF,Southampton,West Ham United,3.9,1.0,0.32,1
