name,position,team,predicted_total_points,price,condition
Luis Díaz,MID,Liverpool,2.8,7.5,1.0
Alisson Becker,GK,Liverpool,6.66,5.5,1.0
Cieran Slicker,GK,Ipswich Town,0.01,4.0,1.0
Corey Jordan,DEF,Ipswich Town,0.01,4.0,1.0
George Friend,DEF,Ipswich Town,0.55,4.0,1.0
Joe Gomez,DEF,Liverpool,0.54,4.9,1.0
Marcus McGuane,MID,Ipswich Town,0.65,4.9,1.0
James McConnell,MID,Liverpool,0.01,4.5,1.0
Alexis Mac Allister,MID,Liverpool,2.73,6.5,1.0
Wataru Endo,MID,Liverpool,-0.01,4.9,1.0
Conor Chaplin,MID,Ipswich Town,1.24,5.4,1.0
Ryan Gravenberch,MID,Liverpool,3.0,5.0,1.0
Sean Raggett,DEF,Ipswich Town,0.01,4.0,1.0
Ben Johnson,DEF,Ipswich Town,0.06,4.0,1.0
Curtis Jones,MID,Liverpool,0.61,5.4,0.75
Nathan Broadhead,MID,Ipswich Town,0.01,5.0,0.0
Wes Burns,MID,Ipswich Town,0.17,4.9,1.0
Axel Tuanzebe,DEF,Ipswich Town,0.44,4.0,1.0
Virgil van Dijk,DEF,Liverpool,4.8,6.0,1.0
Ali Al-Hamadi,FWD,Ipswich Town,0.45,5.0,1.0
Sepp van den Berg,DEF,Liverpool,0.01,4.9,1.0
Cody Gakpo,FWD,Liverpool,0.93,7.3,1.0
Darwin Núñez,FWD,Liverpool,0.47,7.3,1.0
Conor Bradley,DEF,Liverpool,0.75,4.9,1.0
Harry Clarke,DEF,Ipswich Town,0.01,4.0,0.0
Arijanet Muric,GK,Ipswich Town,0.3,4.4,1.0
Kostas Tsimikas,DEF,Liverpool,0.24,4.9,1.0
Dominik Szoboszlai,MID,Liverpool,6.58,6.5,1.0
Bobby Clark,MID,Liverpool,0.01,4.5,1.0
Rhys Williams,DEF,Liverpool,0.01,4.0,1.0
Jack Taylor,MID,Ipswich Town,0.62,5.0,1.0
Cameron Burgess,DEF,Ipswich Town,0.01,4.0,1.0
Jamal Lewis,DEF,Newcastle United,0.01,4.0,1.0
Matt Turner,GK,Nottingham Forest,-0.02,4.0,1.0
Jørgen Strand Larsen,FWD,Wolverhampton Wanderers,1.8,5.5,1.0
Jack Harrison,MID,Everton,1.9,5.5,1.0
Riccardo Calafiori,DEF,Arsenal,-0.01,5.9,1.0
John Ruddy,GK,Newcastle United,0.04,4.0,1.0
Luke Cundle,MID,Wolverhampton Wanderers,0.01,4.5,1.0
Jan Bednarek,DEF,Southampton,0.12,4.0,1.0
Odysseas Vlachodimos,GK,Newcastle United,0.01,4.5,1.0
Martin Ødegaard,MID,Arsenal,3.72,8.4,1.0
Alex McCarthy,GK,Southampton,1.66,4.5,1.0
Neal Maupay,FWD,Everton,0.01,4.9,1.0
Juan Larios,DEF,Southampton,0.03,4.0,1.0
Rodrigo Gomes,MID,Wolverhampton Wanderers,1.65,5.0,1.0
Harry Toffolo,DEF,Nottingham Forest,0.84,4.5,1.0
William Saliba,DEF,Arsenal,5.53,6.0,1.0
Cameron Archer,FWD,Southampton,1.39,5.0,1.0
James Milner,MID,Brighton & Hove Albion,0.97,5.0,1.0
Mario Lemina,MID,Wolverhampton Wanderers,1.12,5.0,1.0
Anthony Gordon,MID,Newcastle United,2.87,7.5,1.0
Rayan Aït-Nouri,DEF,Wolverhampton Wanderers,0.84,4.5,1.0
Armel Bella-Kotchap,DEF,Southampton,0.02,4.0,1.0
Pervis Estupiñán,DEF,Brighton & Hove Albion,-0.18,5.0,1.0
