name,position,team,opponent_team,price,condition,xTotPoints
Adam Lallana,MID,Southampton,Manchester United,5.0,1.0,0.72
Sandro Tonali,MID,Newcastle United,Wolverhampton Wanderers,5.5,1.0,2.39
Issa Diop,DEF,Fulham,West Ham United,4.4,1.0,2.01
Igor Julio dos Santos de Paulo,DEF,Brighton & Hove Albion,Ipswich Town,4.4,0.0,0.25
Joelinton Cássio Apolinário de Lira,MID,Newcastle United,Wolverhampton Wanderers,6.0,1.0,4.68
John McGinn,MID,Aston Villa,Everton,5.2,0.0,3.03
Oscar Bobb,MID,Manchester City,Brentford,4.7,0.25,0.0
Pedro Cardoso de Lima,DEF,Wolverhampton Wanderers,Newcastle United,3.9,1.0,-0.0
Nathan Collins,DEF,Brentford,Manchester City,4.6,1.0,2.68
Jesper Lindstrøm,MID,Everton,Aston Villa,5.0,1.0,1.03
Marc Guéhi,DEF,Crystal Palace,Leicester City,4.5,1.0,2.64
William Osula,FWD,Newcastle United,Wolverhampton Wanderers,4.9,1.0,0.38
Jean-Philippe Mateta,FWD,Crystal Palace,Leicester City,7.2,1.0,6.35
Bernardo Veiga de Carvalho e Silva,MID,Manchester City,Brentford,6.3,1.0,3.24
Filip Jørgensen,GK,Chelsea,Bournemouth,4.2,1.0,0.25
David Brooks,MID,Bournemouth,Chelsea,4.9,1.0,1.46
Solly March,MID,Brighton & Hove Albion,Ipswich Town,6.5,1.0,0.07
Kieran Trippier,DEF,Newcastle United,Wolverhampton Wanderers,5.6,1.0,1.67
John Stones,DEF,Manchester City,Brentford,5.3,0.25,0.14
Jayden Meghoma,DEF,Brentford,Manchester City,4.0,1.0,0.07
Lewis Hall,DEF,Newcastle United,Wolverhampton Wanderers,4.9,1.0,7.28
Marc Guiu Paz,FWD,Chelsea,Bournemouth,4.7,1.0,0.14
Tyler Morton,MID,Liverpool,Nottingham Forest,4.4,1.0,0.0
Matheus França de Oliveira,MID,Crystal Palace,Leicester City,4.4,0.0,0.0
Calvin Bassey,DEF,Fulham,West Ham United,4.5,1.0,1.95
Eddie Nketiah,FWD,Crystal Palace,Leicester City,5.9,1.0,0.87
Andreas Hoelgebaum Pereira,MID,Fulham,West Ham United,5.0,1.0,1.91
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Newcastle United,7.0,1.0,5.76
Amadou Onana,MID,Aston Villa,Everton,4.9,1.0,1.03
Morgan Rogers,MID,Aston Villa,Everton,5.5,1.0,5.41
Reiss Nelson,MID,Fulham,West Ham United,5.0,0.0,0.0
Tosin Adarabioyo,DEF,Chelsea,Bournemouth,4.2,1.0,1.96
Matt Targett,DEF,Newcastle United,Wolverhampton Wanderers,4.0,1.0,0.0
Jan Paul van Hecke,DEF,Brighton & Hove Albion,Ipswich Town,4.5,1.0,2.94
Ollie Watkins,FWD,Aston Villa,Everton,8.9,1.0,3.8
Jorge Cuenca Barreno,DEF,Fulham,West Ham United,4.4,1.0,0.1
Rico Lewis,DEF,Manchester City,Brentford,4.6,1.0,2.17
Julián Araujo Zúñiga,DEF,Bournemouth,Chelsea,4.3,0.0,0.0
James Tarkowski,DEF,Everton,Aston Villa,4.8,1.0,3.89
Joël Veltman,DEF,Brighton & Hove Albion,Ipswich Town,4.4,1.0,0.92
Kamaldeen Sulemana,MID,Southampton,Manchester United,5.0,1.0,0.77
Tyrone Mings,DEF,Aston Villa,Everton,4.4,1.0,0.49
Ethan Wheatley,FWD,Manchester United,Southampton,4.5,1.0,0.0
Amad Diallo,MID,Manchester United,Southampton,5.4,1.0,4.85
Malo Gusto,DEF,Chelsea,Bournemouth,4.9,1.0,2.11
Jakub Stolarczyk,GK,Leicester City,Crystal Palace,4.0,1.0,0.89
Lloyd Kelly,DEF,Newcastle United,Wolverhampton Wanderers,4.2,1.0,0.34
Mateus Gonçalo Espanha Fernandes,MID,Southampton,Manchester United,5.0,1.0,1.54
Dean Huijsen,DEF,Bournemouth,Chelsea,4.4,1.0,6.21
Carlos Roberto Forbs Borges,MID,Wolverhampton Wanderers,Newcastle United,5.5,1.0,0.85
André Trindade da Costa Neto,MID,Wolverhampton Wanderers,Newcastle United,5.0,1.0,1.54
Max Aarons,DEF,Bournemouth,Chelsea,4.3,1.0,2.26
Lewis Miley,MID,Newcastle United,Wolverhampton Wanderers,5.0,1.0,0.49
Nathan Wood-Gordon,DEF,Southampton,Manchester United,4.0,1.0,2.01
Rodrigo Muniz Carvalho,FWD,Fulham,West Ham United,5.5,0.75,2.55
Benjamin White,DEF,Arsenal,Tottenham Hotspur,6.1,0.0,0.0
Abdul Fatawu,MID,Leicester City,Crystal Palace,5.2,0.0,0.0
Dominik Szoboszlai,MID,Liverpool,Nottingham Forest,6.3,1.0,2.61
Tim Iroegbunam,MID,Everton,Aston Villa,4.3,0.0,0.0
Roméo Lavia,MID,Chelsea,Bournemouth,4.5,1.0,0.0
Leon Bailey,MID,Aston Villa,Everton,6.2,1.0,4.11
Harvey Barnes,MID,Newcastle United,Wolverhampton Wanderers,6.0,0.0,0.96
Harry Maguire,DEF,Manchester United,Southampton,4.9,1.0,0.95
Mark Travers,GK,Bournemouth,Chelsea,4.4,1.0,0.99
Will Smallbone,MID,Southampton,Manchester United,5.0,1.0,0.0
Mykhailo Mudryk,MID,Chelsea,Bournemouth,6.2,0.0,0.0
Stefan Ortega Moreno,GK,Manchester City,Brentford,5.2,1.0,2.06
Renato Palma Veiga,MID,Chelsea,Bournemouth,4.4,1.0,0.0
Eberechi Eze,MID,Crystal Palace,Leicester City,6.6,1.0,3.52
Boubacar Kamara,MID,Aston Villa,Everton,5.0,1.0,2.3
Victor Lindelöf,DEF,Manchester United,Southampton,4.3,0.25,0.0
Ross Barkley,MID,Aston Villa,Everton,5.2,0.0,2.42
James McConnell,MID,Liverpool,Nottingham Forest,4.4,1.0,0.0
Kobbie Mainoo,MID,Manchester United,Southampton,5.2,1.0,1.5
Sander Berge,MID,Fulham,West Ham United,5.0,0.75,0.22
Maldini Kacurri,DEF,Arsenal,Tottenham Hotspur,4.0,1.0,0.0
Adam Armstrong,FWD,Southampton,Manchester United,5.1,1.0,2.32
Emil Krafth,DEF,Newcastle United,Wolverhampton Wanderers,4.3,0.75,0.0
Jakub Kiwior,DEF,Arsenal,Tottenham Hotspur,4.8,1.0,0.0
Kristoffer Ajer,DEF,Brentford,Manchester City,4.4,0.0,0.4
Will Hughes,MID,Crystal Palace,Leicester City,4.9,1.0,1.7
Jakub Moder,MID,Brighton & Hove Albion,Ipswich Town,4.4,1.0,0.23
Raheem Sterling,MID,Arsenal,Tottenham Hotspur,6.7,1.0,0.0
Raúl Jiménez,FWD,Fulham,West Ham United,5.7,1.0,5.21
Myles Lewis-Skelly,MID,Arsenal,Tottenham Hotspur,4.5,1.0,0.93
Ashley Young,DEF,Everton,Aston Villa,4.7,1.0,1.64
James Bree,DEF,Southampton,Manchester United,3.9,1.0,0.36
