name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Mykhailo Mudryk,MID,179,Chelsea,Everton,6.2,0.0,0.0,0
Renato Palma Veiga,MID,184,Chelsea,Everton,4.5,1.0,0.32,0
Eberechi Eze,MID,199,Crystal Palace,Arsenal,6.6,0.75,1.85,0
Boubacar Kamara,MID,42,Aston Villa,Manchester City,5.0,1.0,1.94,2
Ross Barkley,MID,29,Aston Villa,Manchester City,5.2,1.0,2.0,0
James McConnell,MID,330,Liverpool,Tottenham Hotspur,4.4,1.0,0.0,0
Kobbie Mainoo,MID,378,Manchester United,Bournemouth,5.2,1.0,0.98,2
Sander Berge,MID,622,Fulham,Southampton,5.0,1.0,2.04,3
Will Hughes,MID,203,Crystal Palace,Arsenal,4.9,1.0,2.69,2
Jakub Moder,MID,137,Brighton & Hove Albion,West Ham United,4.4,1.0,0.0,0
Raheem Sterling,MID,186,Arsenal,Crystal Palace,6.7,0.75,0.76,0
Myles Lewis-Skelly,MID,597,Arsenal,Crystal Palace,4.5,1.0,0.55,1
Armando Broja,FWD,156,Everton,Chelsea,5.4,0.0,0.0,0
Armando Broja,FWD,156,Everton,Chelsea,5.4,0.0,0.0,0
Alexander Isak,FWD,401,Newcastle United,Ipswich Town,8.9,1.0,6.69,17
Rasmus Højlund,FWD,375,Manchester United,Bournemouth,6.9,1.0,1.93,1
Callum Wilson,FWD,421,Newcastle United,Ipswich Town,6.9,0.0,0.21,0
Callum Wilson,FWD,421,Newcastle United,Ipswich Town,6.9,0.0,0.21,0
Jhon Durán,FWD,38,Aston Villa,Manchester City,5.8,1.0,3.43,7
Youssef Ramalho Chermiti,FWD,237,Everton,Chelsea,4.9,0.25,0.0,0
Youssef Ramalho Chermiti,FWD,237,Everton,Chelsea,4.9,0.25,0.0,0
Evan Ferguson,FWD,123,Brighton & Hove Albion,West Ham United,5.5,1.0,1.0,1
Evan Ferguson,FWD,123,Brighton & Hove Albion,West Ham United,5.5,1.0,1.0,1
Kai Havertz,FWD,4,Arsenal,Crystal Palace,7.9,1.0,3.14,6
Yoane Wissa,FWD,110,Brentford,Nottingham Forest,6.3,1.0,3.81,1
Nicolas Jackson,FWD,180,Chelsea,Everton,8.3,1.0,5.2,2
Jamie Vardy,FWD,306,Leicester City,Wolverhampton Wanderers,5.6,1.0,6.16,2
Paul Onuachu,FWD,470,Southampton,Fulham,4.9,1.0,0.08,1
Paul Onuachu,FWD,470,Southampton,Fulham,4.9,1.0,0.08,1
Darwin Núñez Ribeiro,FWD,316,Liverpool,Tottenham Hotspur,7.1,1.0,2.07,1
Igor Thiago Nascimento Rodrigues,FWD,107,Brentford,Nottingham Forest,5.9,0.25,0.9,0
Igor Thiago Nascimento Rodrigues,FWD,107,Brentford,Nottingham Forest,5.9,0.25,0.9,0
Cameron Archer,FWD,27,Southampton,Fulham,5.0,1.0,1.44,1
Erling Haaland,FWD,351,Manchester City,Aston Villa,14.8,1.0,3.31,2
Joshua Zirkzee,FWD,389,Manchester United,Bournemouth,6.6,1.0,1.64,1
Jørgen Strand Larsen,FWD,566,Wolverhampton Wanderers,Leicester City,5.6,1.0,4.02,2
Odsonne Edouard,FWD,198,Leicester City,Wolverhampton Wanderers,5.1,1.0,0.0,0
Odsonne Edouard,FWD,198,Leicester City,Wolverhampton Wanderers,5.1,1.0,0.0,0
Deivid Washington de Souza Eugênio,FWD,165,Chelsea,Everton,4.9,1.0,0.0,0
Deivid Washington de Souza Eugênio,FWD,165,Chelsea,Everton,4.9,1.0,0.0,0
Dominic Calvert-Lewin,FWD,220,Everton,Chelsea,5.5,1.0,2.75,2
Cody Gakpo,FWD,321,Liverpool,Tottenham Hotspur,7.1,1.0,4.26,1
Enes Ünal,FWD,65,Bournemouth,Manchester United,5.4,1.0,1.33,1
Francisco Evanilson de Lima Barbosa,FWD,617,Bournemouth,Manchester United,6.1,1.0,2.71,2
Gabriel Fernando de Jesus,FWD,2,Arsenal,Crystal Palace,6.8,1.0,0.68,16
Iliman Ndiaye,FWD,232,Everton,Chelsea,5.4,1.0,2.0,1
Ross Stewart,FWD,473,Southampton,Fulham,4.4,0.0,0.0,0
Ross Stewart,FWD,473,Southampton,Fulham,4.4,0.0,0.0,0
Norberto Bercique Gomes Betuncal,FWD,218,Everton,Chelsea,5.0,1.0,0.72,0
Norberto Bercique Gomes Betuncal,FWD,218,Everton,Chelsea,5.0,1.0,0.72,0
Danny Welbeck,FWD,148,Brighton & Hove Albion,West Ham United,5.7,0.25,0.86,0
Patson Daka,FWD,289,Leicester City,Wolverhampton Wanderers,4.8,1.0,1.69,0
Patson Daka,FWD,289,Leicester City,Wolverhampton Wanderers,4.8,1.0,1.69,0
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,West Ham United,5.9,1.0,3.75,2
Leon Chiwome,FWD,539,Wolverhampton Wanderers,Leicester City,4.5,1.0,0.0,0
Leon Chiwome,FWD,539,Wolverhampton Wanderers,Leicester City,4.5,1.0,0.0,0
Saša Kalajdžić,FWD,555,Wolverhampton Wanderers,Leicester City,4.8,0.0,0.0,0
Saša Kalajdžić,FWD,555,Wolverhampton Wanderers,Leicester City,4.8,0.0,0.0,0
Carlos Vinícius Alves Morais,FWD,258,Fulham,Southampton,5.0,1.0,0.0,1
Carlos Vinícius Alves Morais,FWD,258,Fulham,Southampton,5.0,1.0,0.0,1
William Osula,FWD,590,Newcastle United,Ipswich Town,4.9,1.0,0.07,0
William Osula,FWD,590,Newcastle United,Ipswich Town,4.9,1.0,0.07,0
Jean-Philippe Mateta,FWD,207,Crystal Palace,Arsenal,7.2,1.0,2.42,2
Marc Guiu Paz,FWD,178,Chelsea,Everton,4.7,1.0,0.0,0
Marc Guiu Paz,FWD,178,Chelsea,Everton,4.7,1.0,0.0,0
Eddie Nketiah,FWD,11,Crystal Palace,Arsenal,5.9,1.0,0.77,1
Eddie Nketiah,FWD,11,Crystal Palace,Arsenal,5.9,1.0,0.77,1
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Leicester City,7.1,1.0,7.51,9
Ollie Watkins,FWD,58,Aston Villa,Manchester City,8.9,1.0,3.49,1
Ethan Wheatley,FWD,648,Manchester United,Bournemouth,4.5,1.0,0.0,0
Ethan Wheatley,FWD,648,Manchester United,Bournemouth,4.5,1.0,0.0,0
Rodrigo Muniz Carvalho,FWD,251,Fulham,Southampton,5.5,1.0,1.49,2
Adam Armstrong,FWD,453,Southampton,Fulham,5.1,1.0,2.04,2
Raúl Jiménez,FWD,252,Fulham,Southampton,5.6,1.0,4.38,0
Hákon Valdimarsson,GK,109,Brentford,Nottingham Forest,3.9,1.0,0.0,0
Jason Steele,GK,142,Brighton & Hove Albion,West Ham United,4.2,1.0,0.0,0
José Malheiro de Sá,GK,554,Wolverhampton Wanderers,Leicester City,4.3,0.75,0.42,7
Kepa Arrizabalaga,GK,152,Bournemouth,Manchester United,4.5,1.0,2.05,9
Tom Heaton,GK,374,Manchester United,Bournemouth,4.0,1.0,0.0,0
Caoimhin Kelleher,GK,325,Liverpool,Tottenham Hotspur,4.5,1.0,3.23,0
Scott Carson,GK,344,Manchester City,Aston Villa,4.0,1.0,0.0,0
Daniel Iversen,GK,294,Leicester City,Wolverhampton Wanderers,3.9,1.0,0.0,0
Mads Hermansen,GK,293,Leicester City,Wolverhampton Wanderers,4.5,0.75,1.92,0
Sam Johnstone,GK,204,Wolverhampton Wanderers,Leicester City,4.3,1.0,0.88,0
Robin Olsen,GK,51,Aston Villa,Manchester City,4.5,1.0,0.32,0
Bart Verbruggen,GK,146,Brighton & Hove Albion,West Ham United,4.5,1.0,0.99,3
Robert Sánchez,GK,185,Chelsea,Everton,4.8,1.0,1.86,9
Asmir Begovic,GK,624,Everton,Chelsea,4.0,1.0,0.0,0
Aaron Ramsdale,GK,14,Southampton,Fulham,4.4,0.5,0.0,10
Matt Turner,GK,445,Crystal Palace,Arsenal,4.0,1.0,0.0,0
Altay Bayindir,GK,367,Manchester United,Bournemouth,4.3,1.0,0.0,0
André Onana,GK,383,Manchester United,Bournemouth,5.2,1.0,2.31,1
Will Dennis,GK,599,Bournemouth,Manchester United,4.0,1.0,0.0,0
Joe Lumley,GK,466,Southampton,Fulham,4.0,1.0,0.95,0
Norberto Murara Neto,GK,73,Arsenal,Crystal Palace,4.2,1.0,0.0,0
Nick Pope,GK,413,Newcastle United,Ipswich Town,4.9,0.0,0.89,0
Oliwier Zych,GK,641,Aston Villa,Manchester City,4.0,1.0,0.0,0
Emiliano Martínez Romero,GK,47,Aston Villa,Manchester City,5.0,1.0,2.19,2
Tommy Setford,GK,639,Arsenal,Crystal Palace,4.5,1.0,0.0,0
Remi Matthews,GK,209,Crystal Palace,Arsenal,3.9,1.0,0.0,0
Lucas Bergström,GK,154,Chelsea,Everton,3.9,1.0,0.0,0
David Raya Martin,GK,15,Arsenal,Crystal Palace,5.6,1.0,4.09,3
Mark Flekken,GK,91,Brentford,Nottingham Forest,4.5,1.0,4.01,2
João Neves Virgínia,GK,227,Everton,Chelsea,3.9,1.0,0.0,0
Ederson Santana de Moraes,GK,347,Manchester City,Aston Villa,5.4,0.5,0.24,0
Bernd Leno,GK,248,Fulham,Southampton,5.0,1.0,1.61,6
Daniel Bentley,GK,536,Wolverhampton Wanderers,Leicester City,4.0,1.0,0.0,0
Gavin Bazunu,GK,454,Southampton,Fulham,4.3,0.0,0.0,0
Danny Ward,GK,308,Leicester City,Wolverhampton Wanderers,4.0,1.0,0.31,1
Joe Gauci,GK,39,Aston Villa,Manchester City,4.0,1.0,0.0,0
Martin Dúbravka,GK,396,Newcastle United,Ipswich Town,4.2,1.0,0.74,6
Tom King,GK,556,Wolverhampton Wanderers,Leicester City,4.0,1.0,0.0,0
Jordan Pickford,GK,235,Everton,Chelsea,4.9,1.0,6.55,7
Marcus Bettinelli,GK,155,Chelsea,Everton,3.9,1.0,0.0,0
Alisson Ramses Becker,GK,310,Liverpool,Tottenham Hotspur,5.4,1.0,0.08,1
Alex McCarthy,GK,469,Southampton,Fulham,4.3,1.0,0.71,0
Steven Benda,GK,242,Fulham,Southampton,4.0,1.0,0.0,0
Dean Henderson,GK,201,Crystal Palace,Arsenal,4.4,1.0,2.37,0
John Ruddy,GK,414,Newcastle United,Ipswich Town,4.0,1.0,0.0,0
Odysseas Vlachodimos,GK,412,Newcastle United,Ipswich Town,4.3,1.0,0.0,0
Filip Jørgensen,GK,581,Chelsea,Everton,4.2,1.0,0.19,0
Jakub Stolarczyk,GK,304,Leicester City,Wolverhampton Wanderers,4.0,0.75,0.0,0
Mark Travers,GK,84,Bournemouth,Manchester United,4.4,1.0,0.0,0
Stefan Ortega Moreno,GK,358,Manchester City,Aston Villa,5.2,1.0,1.82,2
