name,position,nationality,team,season
Niki Mäenpää,Goalkeeper,Finland,Brighton & Hove Albion,2017/18
Christian Walton,Goalkeeper,England,Brighton & Hove Albion,2017/18
Bruno,Defender,Spain,Brighton & Hove Albion,2017/18
Gaëtan Bong,Defender,Cameroon,Brighton & Hove Albion,2017/18
Uwe Hünemeier,Defender,Germany,Brighton & Hove Albion,2017/18
Lewis Dunk,Defender,England,Brighton & Hove Albion,2017/18
Connor Goldson,Defender,England,Brighton & Hove Albion,2017/18
Shane Duffy,Defender,Ireland,Brighton & Hove Albion,2017/18
Liam Rosenior,Defender,England,Brighton & Hove Albion,2017/18
Rob Hunt,Defender,England,Brighton & Hove Albion,2017/18
Ben White,Defender,England,Brighton & Hove Albion,2017/18
Tom Cadman,Defender,Ireland,Brighton & Hove Albion,2017/18
Pascal Groß,Midfielder,Germany,Brighton & Hove Albion,2017/18
Dale Stephens,Midfielder,England,Brighton & Hove Albion,2017/18
Beram Kayal,Midfielder,Israel,Brighton & Hove Albion,2017/18
Jiri Skalak,Midfielder,Czech Republic,Brighton & Hove Albion,2017/18
Anthony Knockaert,Midfielder,France,Brighton & Hove Albion,2017/18
Steve Sidwell,Midfielder,England,Brighton & Hove Albion,2017/18
Solly March,Midfielder,England,Brighton & Hove Albion,2017/18
Oliver Norwood,Midfielder,Northern Ireland,Brighton & Hove Albion,2017/18
Rohan Ince,Midfielder,Montserrat,Brighton & Hove Albion,2017/18
Kazenga LuaLua,Midfielder,DR Congo,Brighton & Hove Albion,2017/18
Sam Baldock,Forward,England,Brighton & Hove Albion,2017/18
Tomer Hemed,Forward,Israel,Brighton & Hove Albion,2017/18
Jamie Murphy,Midfielder,Scotland,Brighton & Hove Albion,2017/18
Glenn Murray,Forward,England,Brighton & Hove Albion,2017/18
Elvis Manu,Forward,Ghana,Brighton & Hove Albion,2017/18
Richie Towell,Forward,Ireland,Brighton & Hove Albion,2017/18
James Tilley,Forward,England,Brighton & Hove Albion,2017/18
Markus Suttner,Defender,Austria,Brighton & Hove Albion,2017/18
Henrik Bjørdal,Midfielder,Norway,Brighton & Hove Albion,2017/18
Mathias Normann,Midfielder,Norway,Brighton & Hove Albion,2017/18
Isaiah Brown,Forward,England,Brighton & Hove Albion,2017/18
Ales Mateju,Defender,Czech Republic,Brighton & Hove Albion,2017/18
Davy Pröpper,Midfielder,Netherlands,Brighton & Hove Albion,2017/18
José Izquierdo,Forward,Colombia,Brighton & Hove Albion,2017/18
Soufyan Ahannach,Midfielder,Netherlands,Brighton & Hove Albion,2017/18
Jayson Molumby,Midfielder,Ireland,Brighton & Hove Albion,2017/18
Aaron Connolly,Forward,Ireland,Brighton & Hove Albion,2017/18
Pierre-Emerick Aubameyang,Forward,Gabon,Arsenal,2017/18
Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,Bournemouth,2017/18
Jermain Defoe,Forward,England,Bournemouth,2017/18
Artur Boruc,Goalkeeper,Poland,Bournemouth,2017/18
Aaron Ramsdale,Goalkeeper,England,Bournemouth,2017/18
Ryan Allsop,Goalkeeper,England,Bournemouth,2017/18
Orestis Karnezis,Goalkeeper,Greece,Watford,2018/19
Daniel Bachmann,Goalkeeper,Austria,Watford,2018/19
Ben Wilmot,Defender,England,Watford,2018/19
Daryl Janmaat,Defender,Netherlands,Watford,2018/19
Miguel Britos,Defender,Uruguay,Watford,2018/19
Younes Kaboul,Defender,France,Watford,2018/19
Sebastian Prödl,Defender,Austria,Watford,2018/19
Adrian Mariappa,Defender,Jamaica,Watford,2018/19
Craig Cathcart,Defender,Northern Ireland,Watford,2018/19
Kiko Femenía,Defender,Spain,Watford,2018/19
Marvin Zeegelaar,Defender,Netherlands,Watford,2018/19
José Holebas,Defender,Greece,Watford,2018/19
Christian Kabasele,Defender,Belgium,Watford,2018/19
Joy Mukena,Defender,England,Watford,2018/19
Tom Cleverley,Midfielder,England,Watford,2018/19
Didier Ndong,Midfielder,Gabon,Watford,2018/19
Nathaniel Chalobah,Midfielder,England,Watford,2018/19
Abdoulaye Doucouré,Midfielder,Mali,Watford,2018/19
Will Hughes,Midfielder,England,Watford,2018/19
Dodi Lukébakio,Midfielder,Belgium,Watford,2018/19
André Carrillo,Midfielder,Peru,Watford,2018/19
Étienne Capoue,Midfielder,France,Watford,2018/19
Roberto Pereyra,Midfielder,Argentina,Watford,2018/19
Gerard Deulofeu,Forward,Spain,Watford,2018/19
Troy Deeney,Forward,England,Watford,2018/19
Richarlison,Forward,Brazil,Watford,2018/19
Jerome Sinclair,Forward,England,Watford,2018/19
Andre Gray,Forward,Jamaica,Watford,2018/19
Stefano Okaka,Forward,Italy,Watford,2018/19
Marc Navarro,Defender,Spain,Watford,2018/19
Pontus Dahlberg,Goalkeeper,Sweden,Watford,2018/19
Costel Pantilimon,Goalkeeper,Romania,Watford,2018/19
Dimitri Foulquier,Defender,Guadeloupe,Watford,2018/19
Brice Dja Djédjé,Defender,Cote D’Ivoire,Watford,2018/19
Ezequiel Schelotto,Defender,Argentina,Brighton & Hove Albion,2017/18
Tim Krul,Goalkeeper,Netherlands,Brighton & Hove Albion,2017/18
Des Hutchinson,Midfielder,Ireland,Brighton & Hove Albion,2017/18
Jürgen Locadia,Forward,Curacao,Brighton & Hove Albion,2017/18
Leonardo Ulloa,Forward,Argentina,Brighton & Hove Albion,2017/18
Adam Federici,Goalkeeper,Australia,Bournemouth,2017/18
Jordan Holmes,Goalkeeper,Australia,Bournemouth,2017/18
Simon Francis,Defender,England,Bournemouth,2017/18
Steve Cook,Defender,England,Bournemouth,2017/18
Charlie Daniels,Defender,England,Bournemouth,2017/18
Brad Smith,Defender,Australia,Bournemouth,2017/18
Adam Smith,Defender,England,Bournemouth,2017/18
Marc Wilson,Defender,Ireland,Bournemouth,2017/18
Tyrone Mings,Defender,England,Bournemouth,2017/18
Baily Cargill,Defender,England,Bournemouth,2017/18
Ollie Harfield,Defender,England,Bournemouth,2017/18
Jack Simpson,Defender,England,Bournemouth,2017/18
Dan Gosling,Midfielder,England,Bournemouth,2017/18
Andrew Surman,Midfielder,England,Bournemouth,2017/18
Marc Pugh,Midfielder,England,Bournemouth,2017/18
Harry Arter,Midfielder,Ireland,Bournemouth,2017/18
Lewis Cook,Midfielder,England,Bournemouth,2017/18
Junior Stanislas,Midfielder,England,Bournemouth,2017/18
Emerson Hyndman,Midfielder,United States,Bournemouth,2017/18
Ryan Fraser,Midfielder,Scotland,Bournemouth,2017/18
Jordon Ibe,Midfielder,England,Bournemouth,2017/18
Keelan O'Connell,Midfielder,England,Bournemouth,2017/18
Matthew Worthington,Midfielder,England,Bournemouth,2017/18
Benik Afobe,Forward,DR Congo,Bournemouth,2017/18
Max Gradel,Forward,Cote D’Ivoire,Bournemouth,2017/18
Callum Wilson,Forward,England,Bournemouth,2017/18
Joshua King,Forward,Norway,Bournemouth,2017/18
Lewis Grabban,Forward,England,Bournemouth,2017/18
Lys Mousset,Forward,France,Bournemouth,2017/18
Matt Butcher,Forward,England,Bournemouth,2017/18
Rhoys Wiggins,Defender,Wales,Bournemouth,2017/18
Connor Mahoney,Midfielder,England,Bournemouth,2017/18
Kyle Taylor,Midfielder,England,Bournemouth,2017/18
Sam Surridge,Forward,England,Bournemouth,2017/18
Shaun Hobson,Defender,England,Bournemouth,2017/18
Mikael Ndjoli,Forward,England,Bournemouth,2017/18
Brandon Mason,Defender,England,Watford,2018/19
Isaac Success,Forward,Nigeria,Watford,2018/19
Mauro Zárate,Forward,Argentina,Watford,2018/19
Michael Folivi,Forward,England,Watford,2018/19
Adam Masina,Defender,Morocco,Watford,2018/19
Ken Sema,Midfielder,Sweden,Watford,2018/19
Ben Foster,Goalkeeper,England,Watford,2018/19
Adalberto Peñaranda,Forward,Venezuela,Watford,2018/19
Domingos Quina,Midfielder,Portugal,Watford,2018/19
Ethan Pinnock,Defender,Jamaica,Brentford,2023/24
Zanka,Defender,Denmark,Brentford,2023/24
Ben Mee,Defender,England,Brentford,2023/24
Pontus Jansson,Defender,Sweden,Brentford,2023/24
Kristoffer Ajer,Defender,Norway,Brentford,2023/24
Mads Roerslev,Defender,Denmark,Brentford,2023/24
Tristan Crama,Defender,France,Brentford,2023/24
Finley Stevens,Defender,Wales,Brentford,2023/24
Christian Nørgaard,Midfielder,Denmark,Brentford,2023/24
Mathias Jensen,Midfielder,Denmark,Brentford,2023/24
Kevin Schade,Midfielder,Germany,Brentford,2023/24
Josh Dasilva,Midfielder,England,Brentford,2023/24
Yoane Wissa,Midfielder,DR Congo,Brentford,2023/24
Frank Onyeka,Midfielder,Nigeria,Brentford,2023/24
Bryan Mbeumo,Midfielder,Cameroon,Brentford,2023/24
Davy Klaassen,Midfielder,Netherlands,Everton,2017/18
Joel Robles,Goalkeeper,Spain,Everton,2017/18
Maarten Stekelenburg,Goalkeeper,Netherlands,Everton,2017/18
Mateusz Hewelt,Goalkeeper,Poland,Everton,2017/18
Leighton Baines,Defender,England,Everton,2017/18
Ashley Williams,Defender,Wales,Everton,2017/18
Phil Jagielka,Defender,England,Everton,2017/18
Séamus Coleman,Defender,Ireland,Everton,2017/18
Ramiro Funes Mori,Defender,Argentina,Everton,2017/18
Mason Holgate,Defender,England,Everton,2017/18
Mikkel Damsgaard,Midfielder,Denmark,Brentford,2023/24
Shandon Baptiste,Midfielder,Grenada,Brentford,2023/24
Vitaly Janelt,Midfielder,Germany,Brentford,2023/24
Ryan Trevitt,Midfielder,England,Brentford,2023/24
Yehor Yarmoliuk,Midfielder,Ukraine,Brentford,2023/24
Saman Ghoddos,Forward,Iran,Brentford,2023/24
Ivan Toney,Forward,England,Brentford,2023/24
Keane Lewis-Potter,Forward,England,Brentford,2023/24
Alex Gilbert,Forward,Ireland,Brentford,2023/24
Michael Olakigbe,Forward,England,Brentford,2023/24
Nathan Young-Coombes,Forward,England,Brentford,2023/24
Charlie Goode,Defender,England,Brentford,2023/24
Tariqe Fosu-Henry,Midfielder,Ghana,Brentford,2023/24
Joel Valencia,Forward,Ecuador,Brentford,2023/24
Mark Flekken,Goalkeeper,Netherlands,Brentford,2023/24
Ellery Balcombe,Goalkeeper,England,Brentford,2023/24
Myles Peart-Harris,Midfielder,England,Brentford,2023/24
Mads Bidstrup,Midfielder,Denmark,Brentford,2023/24
Paris Maghoma,Midfielder,England,Brentford,2023/24
Sergi Canós,Forward,Spain,Brentford,2023/24
Halil Dervisoglu,Forward,Turkey,Brentford,2023/24
Mads Bech,Defender,Denmark,Brentford,2023/24
Matthew Pennington,Defender,England,Everton,2017/18
Jonjoe Kenny,Defender,England,Everton,2017/18
Morgan Schneiderlin,Midfielder,France,Everton,2017/18
Ross Barkley,Midfielder,England,Everton,2017/18
Kevin Mirallas,Midfielder,Belgium,Everton,2017/18
James McCarthy,Midfielder,Ireland,Everton,2017/18
Idrissa Gueye,Midfielder,Senegal,Everton,2017/18
Gareth Barry,Midfielder,England,Everton,2017/18
Muhamed Besic,Midfielder,Bosnia & Herzegovina,Everton,2017/18
Tom Davies,Midfielder,England,Everton,2017/18
Joe Williams,Midfielder,England,Everton,2017/18
Yannick Bolasie,Forward,DR Congo,Everton,2017/18
Dominic Calvert-Lewin,Forward,England,Everton,2017/18
Nathan Collins,Defender,Ireland,Brentford,2023/24
Kim Ji-Soo,Defender,South Korea,Brentford,2023/24
Ethan Brierley,Midfielder,England,Brentford,2023/24
Aaron Pressley,Forward,Scotland,Brentford,2023/24
Valintino Adedokun,Defender,Ireland,Brentford,2023/24
Neal Maupay,Forward,France,Brentford,2023/24
Vincent Angelini,Goalkeeper,Scotland,Brentford,2023/24
Benjamin Fredrick,Defender,Nigeria,Brentford,2023/24
Yunus Konak,Midfielder,Turkey,Brentford,2023/24
Sergio Reguilón,Defender,Spain,Brentford,2023/24
Hákon Valdimarsson,Goalkeeper,Iceland,Brentford,2023/24
Benjamin Arthur,Defender,England,Brentford,2023/24
Ademola Lookman,Forward,Nigeria,Everton,2017/18
Sandro Ramírez,Forward,Spain,Everton,2017/18
Michael Keane,Defender,England,Everton,2017/18
Wayne Rooney,Forward,England,Everton,2017/18
Cuco Martina,Defender,Curacao,Everton,2017/18
Henry Onyekuru,Forward,Nigeria,Everton,2017/18
Oumar Niasse,Forward,Senegal,Everton,2017/18
Gylfi Sigurdsson,Midfielder,Iceland,Everton,2017/18
Jose Baxter,Midfielder,England,Everton,2017/18
Aaron Lennon,Midfielder,England,Everton,2017/18
Nikola Vlasic,Forward,Croatia,Everton,2017/18
Beni Baningime,Midfielder,DR Congo,Everton,2017/18
Morgan Feeney,Defender,England,Everton,2017/18
Michael Collins,Defender,England,Everton,2017/18
Harry Charsley,Midfielder,Ireland,Everton,2017/18
Nathan Broadhead,Midfielder,Wales,Everton,2017/18
Alex Denny,Midfielder,England,Everton,2017/18
Fraser Hornby,Midfielder,Scotland,Everton,2017/18
Stephen Duke-McKenna,Midfielder,Guyana,Everton,2017/18
Anthony Gordon,Midfielder,England,Everton,2017/18
Shayne Lavery,Forward,Northern Ireland,Everton,2017/18
Cenk Tosun,Forward,Turkey,Everton,2017/18
Theo Walcott,Forward,England,Everton,2017/18
Eliaquim Mangala,Defender,France,Everton,2017/18
Luke Garbutt,Defender,England,Everton,2017/18
Max Sanders,Midfielder,England,Brighton & Hove Albion,2017/18
Nick Pope,Goalkeeper,England,Burnley,2017/18
Matthew Lowton,Defender,England,Burnley,2017/18
Michael Keane,Defender,England,Burnley,2017/18
Ben Mee,Defender,England,Burnley,2017/18
Stephen Ward,Defender,Ireland,Burnley,2017/18
James Tarkowski,Defender,England,Burnley,2017/18
Tendayi Darikwa,Defender,Zimbabwe,Burnley,2017/18
Kevin Long,Defender,Ireland,Burnley,2017/18
Tom Anderson,Defender,England,Burnley,2017/18
Ntumba Massanka,Midfielder,England,Burnley,2017/18
Dean Marney,Midfielder,England,Burnley,2017/18
Robert Brady,Midfielder,Ireland,Burnley,2017/18
Jeff Hendrick,Midfielder,Ireland,Burnley,2017/18
Steven Defour,Midfielder,Belgium,Burnley,2017/18
Ashley Westwood,Midfielder,England,Burnley,2017/18
Fredrik Ulvestad,Midfielder,Norway,Burnley,2017/18
George Boyd,Midfielder,Scotland,Burnley,2017/18
Jóhann Gudmundsson,Forward,Iceland,Burnley,2017/18
Scott Arfield,Midfielder,Canada,Burnley,2017/18
Aiden O'Neill,Midfielder,Australia,Burnley,2017/18
Brad Jackson,Midfielder,England,Burnley,2017/18
Sam Vokes,Forward,Wales,Burnley,2017/18
Ashley Barnes,Forward,England,Burnley,2017/18
Daniel Agyei,Forward,England,Burnley,2017/18
Charlie Taylor,Defender,England,Burnley,2017/18
Jonathan Walters,Forward,Ireland,Burnley,2017/18
Jack Cork,Midfielder,England,Burnley,2017/18
Chris Long,Forward,England,Burnley,2017/18
Phil Bardsley,Defender,Scotland,Burnley,2017/18
Adam Legzdins,Goalkeeper,England,Burnley,2017/18
Chris Wood,Forward,New Zealand,Burnley,2017/18
Nahki Wells,Forward,Bermuda,Burnley,2017/18
Anders Lindegaard,Goalkeeper,Denmark,Burnley,2017/18
Georges-Kévin Nkoudou,Midfielder,Cameroon,Burnley,2017/18
Aaron Lennon,Midfielder,England,Burnley,2017/18
Dwight McNeil,Forward,England,Burnley,2017/18
Laurent Depoitre,Forward,Belgium,Huddersfield Town,2017/18
Jonas Lössl,Goalkeeper,Denmark,Huddersfield Town,2017/18
Elias Kachunga,Forward,DR Congo,Huddersfield Town,2017/18
Joel Coleman,Goalkeeper,England,Huddersfield Town,2017/18
Luke Coddington,Goalkeeper,England,Huddersfield Town,2017/18
Tommy Smith,Defender,England,Huddersfield Town,2017/18
Jason Davidson,Defender,Australia,Huddersfield Town,2017/18
Mark Hudson,Defender,England,Huddersfield Town,2017/18
Tareiq Holmes-Dennis,Defender,England,Huddersfield Town,2017/18
Martin Cranie,Defender,England,Huddersfield Town,2017/18
Chris Löwe,Defender,Germany,Huddersfield Town,2017/18
Christopher Schindler,Defender,Germany,Huddersfield Town,2017/18
Jon Gorenc Stankovic,Defender,Slovenia,Huddersfield Town,2017/18
Michael Hefele,Defender,Germany,Huddersfield Town,2017/18
Dean Whitehead,Midfielder,England,Huddersfield Town,2017/18
Jonathan Hogg,Midfielder,England,Huddersfield Town,2017/18
Sean Scannell,Midfielder,Ireland,Huddersfield Town,2017/18
Philip Billing,Midfielder,Denmark,Huddersfield Town,2017/18
Rajiv van La Parra,Midfielder,Netherlands,Huddersfield Town,2017/18
Regan Booty,Midfielder,England,Huddersfield Town,2017/18
Harry Bunn,Forward,England,Huddersfield Town,2017/18
Jack Payne,Midfielder,England,Huddersfield Town,2017/18
Joe Lolley,Forward,England,Huddersfield Town,2017/18
Jordy Hiwula-Mayifuila,Forward,England,Huddersfield Town,2017/18
Nahki Wells,Forward,Bermuda,Huddersfield Town,2017/18
Collin Quaner,Forward,Germany,Huddersfield Town,2017/18
Danny Williams,Midfielder,United States,Huddersfield Town,2017/18
Tom Ince,Midfielder,England,Huddersfield Town,2017/18
Kasey Palmer,Midfielder,Jamaica,Huddersfield Town,2017/18
Steve Mounié,Forward,Benin,Huddersfield Town,2017/18
Scott Malone,Defender,England,Huddersfield Town,2017/18
Zanka,Defender,Denmark,Huddersfield Town,2017/18
Ryan Schofield,Goalkeeper,England,Huddersfield Town,2017/18
Abdelhamid Sabiri,Midfielder,Morocco,Huddersfield Town,2017/18
Florent Hadërgjonaj,Defender,Kosovo,Huddersfield Town,2017/18
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2017/18
Ben Hamer,Goalkeeper,England,Leicester City,2017/18
Ron-Robert Zieler,Goalkeeper,Germany,Leicester City,2017/18
Ben Chilwell,Defender,England,Leicester City,2017/18
Wes Morgan,Defender,Jamaica,Leicester City,2017/18
Robert Huth,Defender,Germany,Leicester City,2017/18
Danny Simpson,Defender,England,Leicester City,2017/18
Christian Fuchs,Defender,Austria,Leicester City,2017/18
Yohan Benalouane,Defender,Tunisia,Leicester City,2017/18
Danny Drinkwater,Midfielder,England,Leicester City,2017/18
Matty James,Midfielder,England,Leicester City,2017/18
Andy King,Midfielder,Wales,Leicester City,2017/18
Marc Albrighton,Midfielder,England,Leicester City,2017/18
Daniel Amartey,Defender,Ghana,Leicester City,2017/18
Bartosz Kapustka,Midfielder,Poland,Leicester City,2017/18
Demarai Gray,Midfielder,Jamaica,Leicester City,2017/18
Nampalys Mendy,Midfielder,Senegal,Leicester City,2017/18
Wilfred Ndidi,Midfielder,Nigeria,Leicester City,2017/18
Riyad Mahrez,Midfielder,Algeria,Leicester City,2017/18
Ahmed Musa,Forward,Nigeria,Leicester City,2017/18
Jamie Vardy,Forward,England,Leicester City,2017/18
Islam Slimani,Forward,Algeria,Leicester City,2017/18
Shinji Okazaki,Forward,Japan,Leicester City,2017/18
Leonardo Ulloa,Forward,Argentina,Leicester City,2017/18
Vicente Iborra,Midfielder,Spain,Leicester City,2017/18
Eldin Jakupovic,Goalkeeper,Switzerland,Leicester City,2017/18
Callum Elder,Defender,Australia,Leicester City,2017/18
Elliott Moore,Defender,England,Leicester City,2017/18
Harvey Barnes,Midfielder,England,Leicester City,2017/18
Tom Lawrence,Forward,Wales,Leicester City,2017/18
Layton Ndukwu,Defender,England,Leicester City,2017/18
Darnell Johnson,Defender,England,Leicester City,2017/18
Kelechi Iheanacho,Forward,Nigeria,Leicester City,2017/18
Josh Knight,Defender,England,Leicester City,2017/18
Aleksandar Dragovic,Defender,Austria,Leicester City,2017/18
Hamza Choudhury,Midfielder,England,Leicester City,2017/18
George Thomas,Forward,Wales,Leicester City,2017/18
Adrien Silva,Midfielder,Portugal,Leicester City,2017/18
Fousseni Diabaté,Forward,Mali,Leicester City,2017/18
Thibaut Courtois,Goalkeeper,Belgium,Chelsea,2017/18
Robert Green,Goalkeeper,England,Huddersfield Town,2017/18
Terence Kongolo,Defender,Netherlands,Huddersfield Town,2017/18
Lewis O'Brien,Midfielder,England,Huddersfield Town,2017/18
Alex Pritchard,Midfielder,England,Huddersfield Town,2017/18
Jordan Williams,Defender,England,Huddersfield Town,2017/18
Eduardo,Goalkeeper,Portugal,Chelsea,2017/18
Marcos Alonso,Defender,Spain,Chelsea,2017/18
Matt Miazga,Defender,United States,Chelsea,2017/18
Gary Cahill,Defender,England,Chelsea,2017/18
César Azpilicueta,Defender,Spain,Chelsea,2017/18
Tomás Kalas,Defender,Czech Republic,Chelsea,2017/18
David Luiz,Defender,Brazil,Chelsea,2017/18
Ola Aina,Defender,Nigeria,Chelsea,2017/18
Cesc Fàbregas,Midfielder,Spain,Chelsea,2017/18
N'Golo Kanté,Midfielder,France,Chelsea,2017/18
Eden Hazard,Forward,Belgium,Chelsea,2017/18
Ruben Loftus-Cheek,Midfielder,England,Chelsea,2017/18
Victor Moses,Defender,Nigeria,Chelsea,2017/18
Kenedy,Forward,Brazil,Chelsea,2017/18
Nemanja Matic,Midfielder,Serbia,Chelsea,2017/18
Willian,Forward,Brazil,Chelsea,2017/18
Nathaniel Chalobah,Midfielder,England,Chelsea,2017/18
Pedro,Forward,Spain,Chelsea,2017/18
Loïc Rémy,Forward,France,Chelsea,2017/18
Diego Costa,Forward,Spain,Chelsea,2017/18
Michy Batshuayi,Forward,Belgium,Chelsea,2017/18
Antonio Rüdiger,Defender,Germany,Chelsea,2017/18
Tiémoué Bakayoko,Midfielder,France,Chelsea,2017/18
Ederson Moraes,Goalkeeper,Brazil,Manchester City,2017/18
Bernardo Silva,Midfielder,Portugal,Manchester City,2017/18
Claudio Bravo,Goalkeeper,Chile,Manchester City,2017/18
Vincent Kompany,Defender,Belgium,Manchester City,2017/18
Aleksandar Kolarov,Defender,Serbia,Manchester City,2017/18
Eliaquim Mangala,Defender,France,Manchester City,2017/18
John Stones,Defender,England,Manchester City,2017/18
Jason Denayer,Defender,Belgium,Manchester City,2017/18
Nicolás Otamendi,Defender,Argentina,Manchester City,2017/18
Tosin Adarabioyo,Defender,England,Manchester City,2017/18
Fernando,Midfielder,Brazil,Manchester City,2017/18
Ilkay Gündogan,Midfielder,Germany,Manchester City,2017/18
Samir Nasri,Midfielder,France,Manchester City,2017/18
Kevin De Bruyne,Midfielder,Belgium,Manchester City,2017/18
Fabian Delph,Midfielder,England,Manchester City,2017/18
Leroy Sané,Forward,Germany,Manchester City,2017/18
David Silva,Midfielder,Spain,Manchester City,2017/18
Fernandinho,Midfielder,Brazil,Manchester City,2017/18
Patrick Roberts,Midfielder,England,Manchester City,2017/18
Oleksandr Zinchenko,Defender,Ukraine,Manchester City,2017/18
Yaya Touré,Midfielder,Cote D’Ivoire,Manchester City,2017/18
Brahim Díaz,Forward,Morocco,Manchester City,2017/18
Aleix García,Midfielder,Spain,Manchester City,2017/18
Marlos Moreno,Forward,Colombia,Manchester City,2017/18
Raheem Sterling,Forward,England,Manchester City,2017/18
Rubén Sobrino,Forward,Spain,Manchester City,2017/18
Nolito,Forward,Spain,Manchester City,2017/18
Sergio Agüero,Forward,Argentina,Manchester City,2017/18
Wilfried Bony,Forward,Cote D’Ivoire,Manchester City,2017/18
Gabriel Jesus,Forward,Brazil,Manchester City,2017/18
Kelechi Iheanacho,Forward,Nigeria,Manchester City,2017/18
Phil Foden,Midfielder,England,Manchester City,2017/18
Kyle Walker,Defender,England,Manchester City,2017/18
Arijanet Muric,Goalkeeper,Kosovo,Manchester City,2017/18
Jadon Sancho,Midfielder,England,Manchester City,2017/18
Daniel Grimshaw,Goalkeeper,England,Manchester City,2017/18
Danilo,Defender,Brazil,Manchester City,2017/18
Benjamin Mendy,Defender,France,Manchester City,2017/18
Joel Latibeaudiere,Defender,Jamaica,Manchester City,2017/18
Demeaco Duhaney,Defender,England,Manchester City,2017/18
Tyreke Wilson,Defender,Ireland,Manchester City,2017/18
Olarenwaju Kayode,Forward,Nigeria,Manchester City,2017/18
Lukas Nmecha,Forward,Germany,Manchester City,2017/18
Tom Dele-Bashiru,Midfielder,Nigeria,Manchester City,2017/18
Aymeric Laporte,Defender,Spain,Manchester City,2017/18
Erik Palmer-Brown,Defender,United States,Manchester City,2017/18
Andreas Christensen,Defender,Denmark,Chelsea,2017/18
Charly Musonda,Midfielder,Belgium,Chelsea,2017/18
Mario Pasalic,Midfielder,Croatia,Chelsea,2017/18
Jérémie Boga,Midfielder,Cote D’Ivoire,Chelsea,2017/18
Kyle Scott,Midfielder,United States,Chelsea,2017/18
Lewis Baker,Midfielder,England,Chelsea,2017/18
Álvaro Morata,Forward,Spain,Chelsea,2017/18
Fikayo Tomori,Defender,England,Chelsea,2017/18
Jake Clarke-Salter,Defender,England,Chelsea,2017/18
Marcin Bulka,Goalkeeper,Poland,Chelsea,2017/18
Cristián Cuevas,Defender,Chile,Chelsea,2017/18
Davide Zappacosta,Defender,Italy,Chelsea,2017/18
Danny Drinkwater,Midfielder,England,Chelsea,2017/18
Abdul Baba,Defender,Ghana,Chelsea,2017/18
Ethan Ampadu,Defender,Wales,Chelsea,2017/18
Dujon Sterling,Defender,England,Chelsea,2017/18
Callum Hudson-Odoi,Forward,England,Chelsea,2017/18
Ross Barkley,Midfielder,England,Chelsea,2017/18
Emerson,Defender,Italy,Chelsea,2017/18
Olivier Giroud,Forward,France,Chelsea,2017/18
Sam Hughes,Defender,England,Leicester City,2017/18
Dominic Solanke,Forward,England,Liverpool,2017/18
Loris Karius,Goalkeeper,Germany,Liverpool,2017/18
Simon Mignolet,Goalkeeper,Belgium,Liverpool,2017/18
Danny Ward,Goalkeeper,Wales,Liverpool,2017/18
Nathaniel Clyne,Defender,England,Liverpool,2017/18
Mamadou Sakho,Defender,France,Liverpool,2017/18
James Milner,Midfielder,England,Liverpool,2017/18
Dejan Lovren,Defender,Croatia,Liverpool,2017/18
Joe Gomez,Defender,England,Liverpool,2017/18
Ragnar Klavan,Defender,Estonia,Liverpool,2017/18
Alberto Moreno,Defender,Spain,Liverpool,2017/18
Joël Matip,Defender,Cameroon,Liverpool,2017/18
Jon Flanagan,Defender,England,Liverpool,2017/18
MJ Williams,Defender,Wales,Liverpool,2017/18
Connor Randall,Defender,England,Liverpool,2017/18
Trent Alexander-Arnold,Defender,England,Liverpool,2017/18
Georginio Wijnaldum,Midfielder,Netherlands,Liverpool,2017/18
Jordan Henderson,Midfielder,England,Liverpool,2017/18
Philippe Coutinho,Midfielder,Brazil,Liverpool,2017/18
Marko Grujic,Midfielder,Serbia,Liverpool,2017/18
Sadio Mané,Forward,Senegal,Liverpool,2017/18
Adam Lallana,Midfielder,England,Liverpool,2017/18
Lucas Leiva,Midfielder,Brazil,Liverpool,2017/18
Emre Can,Midfielder,Germany,Liverpool,2017/18
Kevin Stewart,Midfielder,Jamaica,Liverpool,2017/18
Ryan Kent,Midfielder,England,Liverpool,2017/18
Lazar Markovic,Midfielder,Serbia,Liverpool,2017/18
Ovie Ejaria,Midfielder,England,Liverpool,2017/18
Sheyi Ojo,Midfielder,England,Liverpool,2017/18
Ben Woodburn,Forward,Wales,Liverpool,2017/18
Harry Wilson,Midfielder,Wales,Liverpool,2017/18
Paulo Alves,Midfielder,Portugal,Liverpool,2017/18
Roberto Firmino,Forward,Brazil,Liverpool,2017/18
Daniel Sturridge,Forward,England,Liverpool,2017/18
Divock Origi,Forward,Belgium,Liverpool,2017/18
Danny Ings,Forward,England,Liverpool,2017/18
Rhian Brewster,Forward,England,Liverpool,2017/18
Ádám Bogdán,Goalkeeper,Hungary,Liverpool,2017/18
Cameron Brannagan,Midfielder,England,Liverpool,2017/18
Allan,Midfielder,Brazil,Liverpool,2017/18
Pedro Chirivella,Midfielder,Spain,Liverpool,2017/18
Kamil Grabara,Goalkeeper,Poland,Liverpool,2017/18
Andy Robertson,Defender,Scotland,Liverpool,2017/18
Alex Oxlade-Chamberlain,Midfielder,England,Liverpool,2017/18
Virgil van Dijk,Defender,Netherlands,Liverpool,2017/18
