name,position,team,opponent_team,total_points,was_home,team_tot_points_last_5_matches,team_tot_points_last_5_h2h,tot_assists_last_5_h2h,tot_bonus_last_5_h2h,tot_bps_last_5_h2h,tot_clean_sheets_last_5_h2h,tot_goals_conceded_last_5_h2h,tot_goals_scored_last_5_h2h,tot_own_goals_last_5_h2h,tot_penalties_missed_last_5_h2h,tot_penalties_saved_last_5_h2h,tot_red_cards_last_5_h2h,tot_yellow_cards_last_5_h2h,tot_saves_last_5_h2h,tot_total_points_last_5_h2h,avg_ict_index_last_5_h2h,avg_influence_last_5_h2h,avg_creativity_last_5_h2h,avg_threat_last_5_h2h,avg_selected_last_5_h2h,avg_minutes_last_5_h2h,tot_assists_last_5,tot_bonus_last_5,tot_bps_last_5,tot_clean_sheets_last_5,tot_goals_conceded_last_5,tot_goals_scored_last_5,tot_own_goals_last_5,tot_penalties_missed_last_5,tot_penalties_saved_last_5,tot_red_cards_last_5,tot_yellow_cards_last_5,tot_saves_last_5,tot_total_points_last_5,avg_ict_index_last_5,avg_influence_last_5,avg_creativity_last_5,avg_threat_last_5,avg_selected_last_5,avg_minutes_last_5
Remi Matthews,GK,Crystal Palace,West Ham United,0,True,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27298.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44931.0,0.0
Michael Golding,MID,Leicester City,Fulham,0,False,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5109.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4918.0,0.0
Ben Johnson,DEF,Ipswich Town,Manchester City,3,False,0.0,0.0,1,0,4,0,6,0,0,0,0,0,0,0,3,1.0,6.0,4.0,0.0,72960.0,24.0,1,0,-3,0,6,0,0,0,0,0,0,0,3,1.0,8.0,4.0,0.0,139151.0,25.0
Adam Wharton,MID,Crystal Palace,West Ham United,2,True,0.0,9.0,0,0,33,0,3,0,0,0,0,0,0,0,4,4.0,14.0,24.0,0.0,24381.0,75.0,1,0,71,2,4,0,0,0,0,0,0,0,15,3.0,16.0,13.0,4.0,19411.0,86.0
Ashley Phillips,DEF,Tottenham Hotspur,Everton,0,True,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22014.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22290.0,0.0
João Pedro,MID,Nottingham Forest,Southampton,1,False,9.0,15.0,0,0,12,0,3,0,0,0,0,0,1,0,4,2.0,4.0,4.0,8.0,14065.0,38.0,0,2,54,1,3,1,0,0,0,0,0,0,13,4.0,13.0,11.0,19.0,791862.0,52.0
Jens Cajuste,MID,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,741.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,741.0,0.0
Adama Traoré,MID,Fulham,Leicester City,5,True,6.0,6.0,1,0,40,0,6,0,0,0,0,0,0,0,8,3.0,9.0,18.0,7.0,48259.0,32.0,2,1,70,1,6,1,0,0,0,0,1,0,20,5.0,17.0,16.0,17.0,20643.0,59.0
Michael Keane,DEF,Everton,Tottenham Hotspur,0,False,0.0,3.0,0,2,27,0,9,1,0,0,0,0,1,0,9,2.0,14.0,2.0,7.0,66243.0,54.0,0,0,-1,0,7,0,0,0,0,0,0,0,1,1.0,7.0,2.0,1.0,96326.0,36.0
Mohammed Kudus,MID,West Ham United,Crystal Palace,3,False,6.0,6.0,0,2,30,1,6,1,0,0,0,0,0,0,14,4.0,18.0,11.0,14.0,486282.0,87.0,1,0,78,1,11,1,0,0,0,0,0,0,19,6.0,21.0,16.0,22.0,510647.0,89.0
Carlos Alcaraz,MID,Southampton,Nottingham Forest,0,True,0.0,0.0,0,0,20,0,4,1,0,0,0,0,0,0,7,2.0,14.0,1.0,9.0,7574.0,38.0,1,0,23,0,9,0,0,0,0,0,1,0,9,1.0,2.0,4.0,5.0,7040.0,48.0
Archie Gray,MID,Tottenham Hotspur,Everton,1,True,9.0,9.0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,8588.0,4.0,0,0,5,0,0,0,0,0,0,0,0,0,2,0.0,1.0,1.0,0.0,12158.0,6.0
Manuel Akanji,DEF,Manchester City,Ipswich Town,2,True,15.0,15.0,0,1,41,1,1,0,0,0,0,0,0,0,9,4.0,20.0,22.0,2.0,548856.0,90.0,0,0,99,3,2,0,0,0,0,0,0,0,22,3.0,15.0,10.0,5.0,549150.0,86.0
Alex Iwobi,MID,Fulham,Leicester City,8,True,9.0,9.0,1,4,106,0,7,2,0,0,0,0,0,0,27,9.0,30.0,27.0,30.0,81807.0,90.0,0,1,78,1,8,1,0,0,0,0,0,0,17,6.0,18.0,23.0,17.0,50510.0,90.0
Ross Stewart,FWD,Southampton,Nottingham Forest,0,True,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57433.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61043.0,0.0
Pape Sarr,MID,Tottenham Hotspur,Everton,1,True,11.0,11.0,0,2,52,2,1,1,0,0,0,0,0,0,15,3.0,11.0,4.0,18.0,111778.0,39.0,0,0,48,1,3,0,0,0,0,0,2,0,8,2.0,6.0,9.0,7.0,114128.0,67.0
Stefan Ortega,GK,Manchester City,Ipswich Town,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60053.0,0.0,0,0,18,0,1,0,0,0,0,0,0,4,4,1.0,7.0,0.0,0.0,149488.0,22.0
Roberto Firmino,FWD,Everton,Tottenham Hotspur,1,False,0.0,2.0,0,0,9,0,2,0,0,0,0,0,0,0,5,1.0,1.0,1.0,6.0,249453.0,21.0,0,0,5,0,2,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,26054.0,9.0
