name,position,team,opponent_team,price,condition,xTotPoints
Adam Lallana,MID,Southampton,Nottingham Forest,5.0,1.0,0.52
Sandro Tonali,MID,Newcastle United,Bournemouth,5.5,1.0,1.65
Issa Diop,DEF,Fulham,Leicester City,4.4,1.0,1.79
Igor Julio dos Santos de Paulo,DEF,Brighton & Hove Albion,Manchester United,4.4,0.0,0.38
Joelinton Cássio Apolinário de Lira,MID,Newcastle United,Bournemouth,6.0,1.0,5.2
John McGinn,MID,Aston Villa,Arsenal,5.2,0.5,1.63
Oscar Bobb,MID,Manchester City,Ipswich Town,4.7,0.25,0.0
Pedro Cardoso de Lima,DEF,Wolverhampton Wanderers,Chelsea,3.9,1.0,-0.0
Nathan Collins,DEF,Brentford,Liverpool,4.5,1.0,2.7
Jesper Lindstrøm,MID,Everton,Tottenham Hotspur,5.0,1.0,1.0
Marc Guéhi,DEF,Crystal Palace,West Ham United,4.5,1.0,4.69
William Osula,FWD,Newcastle United,Bournemouth,4.9,1.0,0.54
Jean-Philippe Mateta,FWD,Crystal Palace,West Ham United,7.3,1.0,3.36
Bernardo Veiga de Carvalho e Silva,MID,Manchester City,Ipswich Town,6.3,1.0,3.03
Filip Jørgensen,GK,Chelsea,Wolverhampton Wanderers,4.2,1.0,0.25
David Brooks,MID,Bournemouth,Newcastle United,4.9,1.0,0.98
Solly March,MID,Brighton & Hove Albion,Manchester United,6.5,1.0,0.34
Kieran Trippier,DEF,Newcastle United,Bournemouth,5.6,1.0,1.5
John Stones,DEF,Manchester City,Ipswich Town,5.3,0.25,0.16
Lewis Hall,DEF,Newcastle United,Bournemouth,5.0,1.0,5.93
Marc Guiu Paz,FWD,Chelsea,Wolverhampton Wanderers,4.7,1.0,0.15
Tyler Morton,MID,Liverpool,Brentford,4.4,1.0,0.0
Matheus França de Oliveira,MID,Crystal Palace,West Ham United,4.4,0.0,0.01
Calvin Bassey,DEF,Fulham,Leicester City,4.5,1.0,1.98
Eddie Nketiah,FWD,Crystal Palace,West Ham United,5.9,1.0,0.43
Andreas Hoelgebaum Pereira,MID,Fulham,Leicester City,5.0,1.0,1.52
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Chelsea,7.0,0.75,5.76
Amadou Onana,MID,Aston Villa,Arsenal,4.8,0.75,1.49
Morgan Rogers,MID,Aston Villa,Arsenal,5.5,1.0,6.22
Reiss Nelson,MID,Fulham,Leicester City,5.0,0.0,0.0
Tosin Adarabioyo,DEF,Chelsea,Wolverhampton Wanderers,4.2,1.0,1.31
Matt Targett,DEF,Newcastle United,Bournemouth,4.0,1.0,0.07
Jan Paul van Hecke,DEF,Brighton & Hove Albion,Manchester United,4.5,1.0,3.42
Ollie Watkins,FWD,Aston Villa,Arsenal,8.9,1.0,5.46
Jorge Cuenca Barreno,DEF,Fulham,Leicester City,4.4,1.0,0.0
Rico Lewis,DEF,Manchester City,Ipswich Town,4.5,1.0,1.9
Julián Araujo Zúñiga,DEF,Bournemouth,Newcastle United,4.3,0.0,0.0
James Tarkowski,DEF,Everton,Tottenham Hotspur,4.8,1.0,2.25
Joël Veltman,DEF,Brighton & Hove Albion,Manchester United,4.4,1.0,2.92
Kamaldeen Sulemana,MID,Southampton,Nottingham Forest,5.0,1.0,1.0
Tyrone Mings,DEF,Aston Villa,Arsenal,4.4,1.0,0.82
Ethan Wheatley,FWD,Manchester United,Brighton & Hove Albion,4.5,1.0,0.0
Amad Diallo,MID,Manchester United,Brighton & Hove Albion,5.6,1.0,6.34
Malo Gusto,DEF,Chelsea,Wolverhampton Wanderers,4.9,1.0,0.92
Jakub Stolarczyk,GK,Leicester City,Fulham,4.0,1.0,0.87
Lloyd Kelly,DEF,Newcastle United,Bournemouth,4.2,1.0,0.26
Mateus Gonçalo Espanha Fernandes,MID,Southampton,Nottingham Forest,5.0,1.0,1.5
Dean Huijsen,DEF,Bournemouth,Newcastle United,4.4,1.0,6.28
Carlos Roberto Forbs Borges,MID,Wolverhampton Wanderers,Chelsea,5.5,1.0,0.49
André Trindade da Costa Neto,MID,Wolverhampton Wanderers,Chelsea,5.0,1.0,1.9
Lewis Miley,MID,Newcastle United,Bournemouth,5.0,1.0,0.56
Nathan Wood-Gordon,DEF,Southampton,Nottingham Forest,4.0,1.0,1.92
Rodrigo Muniz Carvalho,FWD,Fulham,Leicester City,5.5,1.0,1.64
Benjamin White,DEF,Arsenal,Aston Villa,6.1,0.0,0.0
Abdul Fatawu,MID,Leicester City,Fulham,5.2,0.0,0.0
Dominik Szoboszlai,MID,Liverpool,Brentford,6.3,1.0,2.41
Tim Iroegbunam,MID,Everton,Tottenham Hotspur,4.3,0.0,0.0
Roméo Lavia,MID,Chelsea,Wolverhampton Wanderers,4.5,0.75,0.0
Leon Bailey,MID,Aston Villa,Arsenal,6.2,1.0,2.52
Harvey Barnes,MID,Newcastle United,Bournemouth,6.0,0.0,0.82
Harry Maguire,DEF,Manchester United,Brighton & Hove Albion,4.9,1.0,0.72
Mark Travers,GK,Bournemouth,Newcastle United,4.4,1.0,1.18
Will Smallbone,MID,Southampton,Nottingham Forest,5.0,1.0,0.14
Mykhailo Mudryk,MID,Chelsea,Wolverhampton Wanderers,6.2,0.0,0.0
Stefan Ortega Moreno,GK,Manchester City,Ipswich Town,5.2,1.0,3.0
Renato Palma Veiga,MID,Chelsea,Wolverhampton Wanderers,4.4,1.0,0.0
Eberechi Eze,MID,Crystal Palace,West Ham United,6.7,1.0,2.16
Boubacar Kamara,MID,Aston Villa,Arsenal,5.0,1.0,2.41
Victor Lindelöf,DEF,Manchester United,Brighton & Hove Albion,4.3,0.25,0.0
Ross Barkley,MID,Aston Villa,Arsenal,5.2,0.0,2.83
James McConnell,MID,Liverpool,Brentford,4.4,1.0,0.0
Kobbie Mainoo,MID,Manchester United,Brighton & Hove Albion,5.2,1.0,1.5
Sander Berge,MID,Fulham,Leicester City,5.0,1.0,0.28
Maldini Kacurri,DEF,Arsenal,Aston Villa,4.0,1.0,0.0
Adam Armstrong,FWD,Southampton,Nottingham Forest,5.1,1.0,1.16
Emil Krafth,DEF,Newcastle United,Bournemouth,4.3,1.0,0.0
Jakub Kiwior,DEF,Arsenal,Aston Villa,4.8,1.0,0.0
Kristoffer Ajer,DEF,Brentford,Liverpool,4.4,0.0,0.1
Will Hughes,MID,Crystal Palace,West Ham United,4.9,1.0,1.72
Jakub Moder,MID,Brighton & Hove Albion,Manchester United,4.4,1.0,0.5
Raheem Sterling,MID,Arsenal,Aston Villa,6.7,1.0,0.34
Raúl Jiménez,FWD,Fulham,Leicester City,5.7,1.0,5.54
Myles Lewis-Skelly,MID,Arsenal,Aston Villa,4.5,1.0,0.96
Ashley Young,DEF,Everton,Tottenham Hotspur,4.7,1.0,1.65
James Bree,DEF,Southampton,Nottingham Forest,3.9,1.0,1.26
